start	end	text
355080	359280	一號鏈接上下一面鏈接可以嗎寶貝你直接買我們家的那個
359800	367040	我們的19號鏈接就可以了19號鏈接買完你直接跟文店服務員講你要那款一面就可以了要那款一面就可以了直接買19號鏈接
367440	369040	然後就可以選擇一面了好不好
369440	373760	然後我們家一號鏈接這一款啊為什麼再介紹一號鏈接呢因為一號鏈接是說句實話這個價格太優惠了
374080	377080	一大兩小買哪一個合適一大兩小的話二號鏈接
377680	384000	買一單然後我們家的如果說你是福建的寶貝們你買五號鏈接買一單那如果說不是福建的寶貝買13號鏈接買一單就可以囉
384400	388400	然後我們家今天這個價格今天這個福利所有的鏈接寶貝他都可以一起去用的
389040	396720	沒有用沒關係都可以退過期沒關係都可以退三大一小怎麼買一號鏈接買一單二號鏈接買一單最便宜最優惠最給力
396960	402240	福建的寶貝那我教你怎麼買福建的話你二號鏈接買一單然後我們家的一個五號鏈接買一單就可以了
402520	405440	然後苗苗福利如果六七八鏈接你如果說你有想要直接去拍就可以囉
405880	412320	錯就今天這個價格錯過今天這個福利不再來拍再來買就沒有這個價格了兩大一小怎麼拍呢我們兩大一小的話
412640	418560	那個我們家的一號鏈接拍一單然後我們家的那個如果說你是福建的寶貝五號鏈接拍一單如果不是福建的寶貝
419000	425920	買我們家13號鏈接拍一單就可以了買我們家三號鏈接拍一單給了所有的鏈接他都可以一起用的沒有用寶貝也沒有關係都可以退
426240	433080	過期寶貝也沒有關係也都可以退萬計寶貝也都沒有關係也都可以退的不會再多送你任何的一個手續費
433560	436640	特價的一個福利非常優惠的一個價格這個價格寶貝
437640	441520	也不是每天都有能多入手多入手能多拍多拍一號鏈接
441960	445280	那我們家六七八鏈接都可以用嗎 成都可以用嗎 不會可以的
445560	450640	我們只是說那個五號鏈接那個是福建專長那其他鏈接都可以用的其他鏈接都可以用的
450960	455240	47的那個只有福建才有哦 只有福建才能用的 因為那個是我每天的話
455600	458960	他會換一個地區比如四川成都廣東都有 但是今天換換到
459600	463040	是今天是從福建先開始好不好 福建開始五號鏈接如果沒買專去拍
463480	470120	然後今天這個價格都是一個特惠的一個價格 那麼一號秒秒福利再給他開一波吧 六號七號鏈接再各給他補一個十單吧倒計三秒鐘
470600	472440	321上鏈接
473000	477600	我們的陽光一百分成就把寶座都燒好了 喜歡的寶座也給這一拍 直接去搶
477920	482520	對的 都是一個特價的一個福利 非常優惠的一個價格 這個價格寶貝也不是每天都有
482800	487400	對的 七號鏈接的旋轉木馬也把寶座都燒好了 喜歡的寶座也給這一拍
488440	493240	對的 價值22米建築的11米裡面有跳欄冰 堅果冰 萌兔冰 草莓蒜 草莓蛋塔
493560	495800	然後印花十塊的優惠券給他發一張 好的
496800	500680	有沒有一大兩小的套餐呢 一大兩小 寶貝知道你怎麼買
501200	504680	二號鏈接買一單 然後我們家的那個十
505440	509600	三號鏈接買一單 這是最便宜最優惠的 二號鏈接買一單 十三號鏈接買一單 好不好
509960	514440	然後我們家今天的話 我們這邊的話 也是收到通知 我們那個
515320	522800	抖音官方的話 也是給了我們一波優惠券 但是只有15張 寶貝只有15張的一個優惠券
523280	527920	那如果說你們有想要這一波優惠券 那這個優惠券是減多少米 我先給大家先講清楚一下
528280	533520	減10米 好不好 減10米 只有1234鏈接都可以用 那利減10米只有15張
534080	540880	有想要的寶貝 你可以扣一個小一 然後我們後台開始統計 如果說大家都想要 我15張就全部給他放出去 但是你要拍
541440	548600	才是扣小一 不拍我就不要扣小一 然後不拍的寶貝 也不要跟要拍的寶貝去搶 也就只有15張的一個庫存
549080	552920	然後我等我給他發出去 然後1234鏈接都可以利減10米
553360	558800	這個只是抖音官方 他給我們限定的只有15張哦 我先說好只有15張 好不好
559200	561720	然後我跟大家說要點了關注的寶貝
562280	567320	他才能下單去領取 要記得點關注 寶貝沒點關注 寶貝那個券等一下領取不到的哦
567680	574360	要點關注哦 然後我只有15張 只有15張 1234鏈接都可以 但是只有兩分鐘內才能下單
574680	579840	兩分鐘內如果說沒下單的話 他系統自動回收到抖音官方那邊去的 不是回收到主播的
580200	586440	所以說只有15張的一個優惠券 如果說你們有想要有需要的就直接去拍 那我先教大家等我券在哪裡 好不好
587320	592200	豪客來牛排 然後底下有一個福袋 福袋旁邊等我會發一個券
592560	597280	然後你等我一鍵點取領取就可以了 然後1234鏈接都可以去下單的
597720	599640	但是我先說一下 寶貝
600120	607960	1234鏈接不能單獨合攝 1234鏈接只能只能拍1234鏈接 其他鏈接是不能拍的
608280	612440	其他鏈接是不能拍 只能剪1234 但是只有15張 如果說
613680	620280	你不要不買的 寶貝就不要做惡作劇 不要去點 因為你點完兩分鐘也就合家了 那還很多人要買的 大家都成年人 好不好
620600	624960	有想要再去點 沒想要就不用去點 好不好 那廢話不多說來運一話給大家上
625520	627800	啊 卡了是吧 電腦被
629040	633920	我會稍等一下 稍等一下 我們那個電腦卡掉了 我電腦卡掉了 稍等一下 稍等一下
634960	638440	可以了 可以了 那我們給他上一波券 來倒計時3秒鐘
639400	642520	153來倒計3秒鐘 321閃券
642960	648440	好 我們券已經在左上角就保存了 發生上去很久了 趕緊去領取 趕緊去拍 趕緊去搶了
649160	655000	對的 都是一個非常優惠的一個價格 這個價格 寶貝也只有今天 抖爸爸今天這裡才能辦到位哦 寶貝
655360	663760	還剩最後的一個 我們的一個1分43秒 1分43秒後七種自動收尾囉 但是我強力安利大家去買一號鏈結 一號鏈結相對來就更便宜一點 更優惠更給力
664240	667280	錯過今天這個價格 錯過今天這個福利 再來拍
668840	676240	再來賣 就沒有這個價格了 這個價格寶貝也只有今天抖爸爸這裡才能辦到位 都是一個特惠的一個價格 非常優惠
676840	677080	對的
678080	683760	而且我們家一號鏈結這個價格 一號鏈結二號鏈結這個福利 三號鏈結這個價格 你都可以做對比 或四號鏈結這個價格也好
684240	687600	某團某眾很透明的 大家可以做對比啦 我們家的特價
688000	693520	然後尤其是我們家今天這個價格 尤其今天這個福利一號鏈結這個價格 寶貝你去哪裡找 沒有去對方去找的
694760	697760	沒開業嗎 去了沒開門 寶貝那你可以問一下客服 因為
698320	703840	全國太多門店的主播可能沒有辦法一個個的話去問一下到底有沒有開業啊 我到底沒開業 你可以問一下客服好不好
704640	711760	飯週末不能用嗎 飯週末都不能用的 牛排週末都可以用的 比如說1234鏈結都可以用 那飯飯類的話只有週一到週五才可以用的
712200	718200	然後我們家今天這個價格 今天這個福利我建議大家可以多拍多入手了 這個價格這個福利寶貝只有今天抖爸爸今天
718480	723840	他才能辦到位都是一個特惠的一個價格 這個價格這個福利寶貝也不是每天都有
724240	729400	能多入手多入手能多拍都不開了一號鏈結30天有效4月
730400	736760	15如果和牛排一起用的也不能用嗎 寶貝不行用牛排可以用 那個飯飯類沒辦法用 飯飯類沒辦法用的
737200	741000	然後我們家今天這個價格 今天這個福利一號鏈結這個價格才110米的一個價格
741400	744560	今天就可以帶走我們家特價 今天就可以帶走我們家的福利
744920	749320	都是一個非常給力的一個價格 這個價格寶貝也不是每天給他散的
749760	754960	一號鏈結會踩雷嗎 不會 為什麼能證明他不會呢 大家可以看一號鏈結那個已售
755400	760280	9.3萬份足以證明他好吃 9.3萬份足以證明他經典
760720	765360	如果說這款不好吃 不用會他願意買的嗎 肯定不願意對不對 那今天可以用嗎 寶貝
765680	771680	今天可以用 現在買現在可以用 沒用可以退 一號鏈結可以跟八號鏈結一起用嗎 可以的
771960	775080	一號鏈結跟我們的六七八鏈結三個鏈結都可以一起用的
775640	778040	所有的一個鏈結他都可以一起用的
778560	779600	沒有用
780280	786520	沒關係 可以退 過期沒關係 可以退 萬氣寶貝也都沒有關係 也都可以退的
786800	790320	不會再多說你任何的一個手續費用 尤其是這個一號鏈結這個價格去哪裡找呢
790920	793440	是不是有些鏈結週末不能用 寶貝我們家的話
794120	798400	放類似不能用的 然後我們家牛排的話基本都可以用 牛排基本都可以用 如果說牛排
799440	802160	不能用的話 他前面會寫個工作日好不好 那就不能用的
802720	808320	哪個牛排是辣的 寶貝我們家的那個川鄉牛排15號鏈結強烈昂你去吃一下 如果最喜歡吃辣的
808760	811280	無辣不歡的15號鏈你一定會愛上他了 直接去拍
811840	817600	那我們趁今天這個價格一號鏈結這個價格110名的價格 我建議大家可以多拍多入手吧 這個價格這個福利寶貝
817920	825160	也只有今天董爸爸今天他才能辦到位 都是一個特價的一個福利 非常優惠的一個價格 這個價格寶貝也不是每天給他上的
825600	829840	一號鏈結這個價格到手價格人均50出手一個價格 外面隨便吃個中餐
830400	833560	吃個日料 吃個火鍋 隨便麵人均七八十米吧 對不對
833880	837960	我們家今天人均50出頭的價格 而且還包括我們家的那個自助餐 寶貝說句實話
838480	840640	這個價格不優惠嗎 太優惠了
841040	845960	這個價格這個福利寶貝錯過了 再來拍再來買 寶貝可能就沒有這個價格了
846320	848800	這個價格也只有今天董爸爸今天才能辦到位的
849160	854520	買了好幾個套單可以一起用嗎 寶貝可以的 所有的一個鏈結他都可以繼續用
855000	858680	沒有用都沒有關係 他都可以退
859160	863160	過期寶貝也都沒有關係 他也都可以退
863720	870800	萬季寶貝也都沒有關係 也都可以退的 不會再多送你任何的一個手續費
871240	875360	特價的一個福利 非常優惠的一個價格 這個價格寶貝也不是每天都有
876040	880560	自助餐是幾號鏈結 寶貝我們家自助餐的包含在裡面 比如說你買的一號鏈結是兩個人的對不對
880840	883320	兩個再大人再帶一個小孩可以享受我們家自助餐嗎 可以
884040	889720	不管說去多少人我們家自助餐都包含在裡面 都是包含在裡面的 費用都是包含在裡面 不會再多送你一毛錢哦
890120	898320	那一樣這個價格還可以搭配我們家678鏈結都可以去使用的 都是一個特惠的一個價格 這個價格這個福利寶貝也不是每天給他算的 能多拍
899400	902760	我建議大家多拍 能多囤多囤啊 能拍三單
903120	906720	寶紙不要拍兩單 能拍兩單的寶紙不要拍一單
907200	913840	錯過今天這個價格 錯過今天這個福利再來拍 再來賣寶貝就沒有這個價格囉
914240	916800	一個大人兩個小孩怎麼拍比較算 比較划算呢
917120	921840	那我一號鏈結二號鏈結 我教練一個大人兩個小孩 二號鏈結拍一單 然後我們家的那個
922280	924400	13號鏈結拍一單是最便宜最優惠的
924680	931760	二號鏈結拍一單和我們的那個 剛剛跟你說的那一款是我們家的一個13號鏈結再拍一單 這個價格是最便宜最優惠最給力的
932080	939680	那我們接下來秒秒福利我再給他開一波吧 來運換678鏈結 再各給他補一個十單的過程來運準備好 倒計是三秒鐘
940280	947400	321少鏈結啊 我們的陽光100分層次幫寶珠上好了 雖然寶珠的可以直接拍 直接就行
949840	955120	七號鏈結的旋轉木馬也幫寶珠上來 喜歡的寶珠也可以趕緊拍 趕緊拍
955280	960880	對的 我們家678鏈結是不能單獨核銷的 是必須搭配抖銀那個套餐一起去核銷的 因為這個價格寶貝他本身就非常給力
961360	967680	那一大一小的話怎麼買呢 買二號鏈結 二號鏈結直接去拍就可以了 那接下來我給他介紹一下我們家的二號鏈結
968000	976560	我們家二號鏈結這一款的話 門店的話是133 今天直播間倒數價格是109 是我們家好小牛這一款 價格是109
976560	986560	我們家的二號鏈結 我們家二號鏈結這一款的話 門店的話是133 今天直播間倒數價格的109 是我們家好小牛的一個親子雙人餐
987000	995080	隨時可以用 隨時可以退 免預約的 有效期30天 4月15到我們的一個5月的一個15都可以用的 什麼早上中午晚上都可以用
995480	998720	一個的一個小孩子拍哪個呢 一個的小孩子寶貝 如果說你是
1000280	1004680	福建的可以拍我們家五號鏈結 如果不是福建的話 只能拍我們家的那個
1005280	1009200	13號鏈結 好不好 不是福建的話不太13號鏈結 是福建的話 拍5號鏈結就可以了
1009560	1013280	然後我們家今天這個價格 今天這個福利 我們家的二號鏈結給他介紹一下
1013720	1018840	二號鏈結這一款的話 是我們家的一個好小牛的一個親子雙人餐 如果最近想帶同去玩的 可以拍二號鏈結
1019240	1022320	隨時可以用 隨時可以退 免預約 一大兩小怎麼拍
1022760	1028920	一大兩小的話 二號鏈結拍一單 然後我們家的一個13號鏈結拍一單就可以了 二號鏈結拍一單13號鏈結拍一單
1029440	1033480	我們家二號鏈結裡面的話 兩款牛排是哪兩款牛排呢 一款是黑胡椒傳奇牛排
1033880	1037840	黑胡椒傳奇牛排是一個內牛排 內牛排非常嫩 包含義式玉米農產 餐包紅茶都有
1038240	1046680	還有一款是我們家的好小牛的一個成長套餐 裡面包含了我們的五種 有玉米粒 鱈魚條 橙汁 布丁 以及我們的一個薯條喔
1047600	1055040	138 今天直播院到家 109 這個價格做到幾折呢 這個價格做到一個7.9折 線下充1000米的儲蓄卡做到一個8.5折
1055440	1060480	我們家這個價格比儲蓄卡價格它還更優惠 比儲蓄卡價格還更給力
1060920	1066840	4月15到我們的一個5月的一個15都可以用的 什麼早上中晚上任何的一個時間段
1067200	1073520	它都可以用 沒用 沒關係 可以退 但是今天這個價格只有今天才有
1073960	1081080	二號鏈結這個價格做幾折呢 這個價格做到一個7.9折 線下充1000米的儲蓄卡做到一個8.5折 我們家這個價格比儲蓄卡價格
1081320	1085440	還更優惠 來運換2號鏈結給大家開一個5單 來倒計13秒鐘
1085960	1093760	321上鏈結 我們的2號鏈結 好想就親子裝那個寶座上好了 主要的寶座給白紙錢謝謝
1094000	1099080	對的 小寶貝可能年紀比較小 沒有去吃過牛排 沒有去纏過牛排給大家纏一下
1099400	1105880	小寶貝可能上學本身很辛苦 我們工作本身很忙 陪伴時間本身比較少 趁今天剛好有這個價格 趁今天剛好有這個福利
1106240	1115240	大家去開心一下 大家去玩一下 也都是完全沒問題的 但是錯過今天這個價格 錯過今天這個福利 再來拍再來賣就沒有這個價格了 這個價格寶貝也不是每天都有
1115640	1116240	那我們運換
1117560	1118760	10塊 運換金再給他發一三
1119200	1123040	然後我們穿二號鏈結這個價格 二號鏈結這個福利 我建議大家可以多拍 落伍手了
