start	end	text
334120	335760	咱们默默的吃播已经卖了两千两百单
335760	336840	说他们是吃播
336840	338360	刚才气息刺激那两位朋友们
338360	339720	说他们是吃播
339720	340760	他们说他们是吃播
340760	341760	他们说他们是吃播
341760	342960	他们说他们是吃播
342960	344320	我刚才气息刺激那两位朋友
344320	345560	我送他们五个字
345560	346360	看破不说破
348360	348840	哈喽 哈喽
348840	349280	好吃
352040	353360	我们只能吃不能说
356760	357360	你过来来
359680	360560	这人过来给你拿一份
363840	364440	真的 来
365480	366760	你说你非聊播人家
366760	367680	对吧 人真过来了
367680	368720	你真给吗
368720	369520	咱就这一个样品
371560	372560	给拿走没事 咱们再弄
373280	374080	面吃完了啊
374080	374680	这边吃完了
374680	376040	刚才朋友说明明来追我们
377240	377800	明哥我
377800	378600	明哥只追马
381920	382320	怎么了
382960	383240	来
383760	384080	上
385720	386840	上来先吃一个面条
386840	387400	太到位了
388240	389840	这个体验对我来说是第一次啊
389840	393080	就是相当于真实评论区现场互动
394960	396080	都是第一次
396080	396800	头一回
396800	397640	冲破镜头
397640	398240	对
398240	399040	这个太立体了
400040	402040	那你说万一等会来有个传过来说
402040	402840	模仿个范围
403840	405280	那我是不是很尴尬朋友们
407400	407880	你别提
407880	409000	没人知道你模仿范围
411440	411920	对
412280	412800	这是
413280	415920	明明白白我的心
415920	416240	不行了
416240	417240	我不能一直跟大家打招呼了
417240	418400	我要这个好好工作了
418840	420880	来 下面给大家来介绍一下咱们这个
420880	422080	精华火腿
422080	423520	原切的火腿丝
423520	424240	这个是火腿丝
424240	425040	咱们还有火腿
425040	425480	两款
425480	426600	对 一会还有火腿丝
426600	427440	还有火腿块
427440	427960	来
427960	429360	这个品质怎么讲呢
429360	430040	小包装
431400	435960	就是它的好的产品实在过于多
435960	437000	以至于
437800	439360	我每一个产品都想
441160	442560	极尽毕生所学
443040	444800	去赶后去夸奖它
444800	446200	以至于我都怕
446200	450000	屏幕前的您可能听到了会觉得我过于虚假
450440	451080	你怎么了
451080	452000	你一下午播两个小时
452000	453000	每一个都哇
453000	454080	每一个都特别好吃
454560	456360	但事实上是刚才的那个人
456480	458360	但事实上是刚才的那个面
458360	459080	香菇酱
459080	460240	包括手上的这个东西
460240	461080	它确实是
461440	462280	它还没吃呢
462280	462760	就放到
462760	463960	这是牌里 你去看一下
466800	467280	对不对
467560	469120	你就是说
469120	469760	这玩意儿
470200	471360	用范围老师的话
471640	473560	如果要描述一下的话
473560	474480	你觉得应该怎么弄
474480	475920	我给你30秒时间准备
475920	476240	不用
476240	476720	你让
477720	478840	行 准备准备准备
479240	479600	马上
479600	480680	你需要就赶紧
480960	482880	你要准备我就先讲一下品
483880	484760	范围老师就是
484760	485760	他不用语言
485760	487800	就哎呀呀呀呀呀呀呀呀呀
488480	488840	完了
489520	490960	就感觉像范围老师掉河里了
491760	492680	我就纳闷了
493040	493520	对吧
493520	495040	同样是做火腿的
495040	495840	各种厂家
495840	498120	怎么金华的火腿就这么棒呢
498960	499640	他说可以吗
499640	500040	都能来
501040	502080	金华的火腿
502080	503200	为什么做得这么棒呢
503880	505280	因为金华的这个火腿
505280	506800	历史非常的悠久
506800	508560	任何事情也不是一蹴而就的
508560	510040	一上来就能把它做得非常的好
510640	512360	是有时间的洗礼的
512360	513080	金华火腿
513080	513920	也是我们国家的
513920	515080	这个四大名腿之一了
515080	516480	浙江金华金华火腿
516480	517760	云南的宣威火腿
517760	518520	儒高火腿
518520	520440	还有这个诺邓火腿
520440	521800	这是咱们的四大名腿
521800	523400	我们吃火腿主要讲究的
523400	524440	就是给它做熟吃
524440	525600	你看这个是一个
526600	527840	咱们这个是加工好的
527840	529160	一个即时的一个火腿
529160	530520	就是拿上拆个蛋
530520	532120	可以直接去加个馒头
532120	533640	或者像面条里边去拌一下
533640	534520	直接是可以吃的
534800	536840	当然你像刚才跟靖雯变品的时候
536840	537200	还在聊
537200	538800	像利比利亚半岛的整个这一片
538800	540560	它是一个生食火腿片的感觉
540560	542040	果子那个哈密瓜等等去吃
542040	542520	对的
543000	544000	那种西班牙火腿
544000	545280	对早上我还聊了一下
545280	549200	我说我最早对于金华的认识
549200	552080	其实不是来自于金华火腿
552080	553360	而是来自于
553360	554240	昨天不是还跟你讲吗
554240	556640	其实来自于一个小的电影
556640	558280	小电影
558280	559840	叫做金华战
559840	560320	金华战
560320	561800	对早上互动的时候
561800	563080	我发现有很多朋友
563080	564960	有看过这一个
564960	566800	我大概上高二
566800	568400	高一的时候看的
568400	570880	正在青春谈不上懵懂
570880	573200	就是青春的阶段
573280	576320	然后看到那么一个小的
576320	578640	其实记录了一个高中生的
580240	581760	美好的
581760	583440	也不能叫爱情吧
583440	585040	就是怎么讲
585040	587200	美好的青春懵懂
587200	590160	青春比较暴动的年代的一些
590160	591720	对比较朴素的感情
591720	592640	在高考前期
592640	593640	非常浪漫
593640	594880	咱们有朋友可能看过那个
594880	597000	是通过那块第一次了解到金华战
597000	597880	再见金华战
599160	600960	特别好吃的这个火腿丝
600960	602400	那关于它我想说一说
602440	603320	我对于它的感受
603320	604000	就是金华火腿
604000	605480	因为本身我买了一个大的火腿
605480	607880	可能更多还是要做一些菜
607880	608160	对
608160	610320	但这款就是既有金华火腿的一个风味
610320	612120	同时又是一款可以及时的小食品
612120	613360	你这句话就总结
613360	613880	就倒列
613880	614600	算是一个总结吗
614600	615680	就倒列
615680	617320	这一下就到点上了
617320	620520	这是一款有着金华火腿风味的
620520	621680	切成了丝的
621680	623480	可以开单及时的
623480	625920	价格是89八包的
625920	626720	金华火腿丝
626720	628000	这个定语这会用的怎么样
628000	629600	是这个意思
629600	630400	进步飞速
630400	631160	就感谢施老师
631160	632600	还是施老师的体验
632600	634120	主要还是你个体验可效果好
634120	636520	要不我也不能去被续费了
636520	637280	报了个正价格
638480	638960	好吃
638960	642440	就是因为它这个火腿本身品质很好
642440	644080	你像咱们这四大名腿
644080	646120	说实话人家那一根大的火腿
646120	647400	就那猪腿做的很长
647400	650680	那一根便宜的可能一千来块钱
650680	651920	贵的三五千的也有
651920	655200	有些可能那种它风干胭脂的时间
655200	658600	还有些三四年的那些卖的就更贵
658600	660120	一条可能上万的都有
660160	661520	然后你把那个买回去
661520	664520	它其实操作对于厨艺的各方面的要求还比较高
664520	664920	没错
664920	668480	你自己一个人吃也不是很快的时间能把它消耗完
668480	669880	是这样的
669880	671960	但是做成这样的就方便多了
671960	672480	没错
672480	674560	刚才我价格报错了是吧
674560	677320	我说成89八十九块钱四包了是吧
677320	680880	49块九四包89块钱八包的
682600	684920	这个是我的Wonder by Furious
684920	687080	是我的喜爱之一
687080	687720	肉响铃
688720	689720	朋友们
689720	691360	就这种菜是什么感觉呢
691360	693000	就是我先不需要去赘述
693000	693640	去描述
693640	694600	上下来一口
694600	695440	有没有那种感觉
695440	696840	大家看一下
696840	698960	油炸的外边豆腐皮里边肉馅谁能顶住
698960	699640	我就问一下
699640	700600	我真的就是
700600	702200	这咱也不会什么诗句
702200	705200	但是看到这个你就真的好感叹
705200	706240	什么感叹什么
706240	707440	你看这个盘
709800	712400	你说他用了什么特别高端的食材吗
712400	713200	没有
713200	714760	用了特别浮夸的设计吗
714760	715480	也没有
716680	717240	但是
717360	718800	就是很简单
718800	719600	这是放的这是啥
719600	720120	这是桶
720120	721360	这是什么叶子
721360	721880	腐菊
721880	723160	腐菊叶子
723160	724560	就简单的铺垫一下
724560	726720	你如果是单单把这几个东西放到里边
726720	727960	它就没有这个感觉
729640	730560	就是如果没有腐菊
730560	731840	你看一下
731840	733800	但这样好像看着也不太美
733800	736360	就是你要是从正面这样去看
736360	736840	挺美的
736840	737360	这么看挺美的
737360	738520	就特别特别漂亮
738520	739240	看到没
739240	739640	对
740480	740960	掉了没事
740960	742240	能吃没事
742240	743920	就是做得非常好
743920	745600	然后这个叫做肉响铃
745600	746960	大家知道之前我们给大家介绍
746960	747680	很多粉的时候
747680	749000	它里边有响铃卷
749000	750200	它其实是用豆腐去做的
750200	752240	豆腐皮这样给它卷起来的
752240	753400	这个里边它有肉
753400	754240	所以叫肉响铃卷
754240	757920	咱们这是39块9的三包
757920	758720	杭式的
758720	759560	就是杭州这一块
759560	761120	给大家看一下配料表
761120	763240	这个配料表是比较天然食材的
763240	764560	豆腐皮
764560	767640	猪肉 马蹄 大豆油 生姜 葱 胡萝卜
767640	770520	淀粉 小麦粉 食用盐 白砂糖 鸡精 味精 香鲜料
770520	771680	都是能看得懂食材
771680	772600	这是家里常见的
772600	773200	对的
773200	774200	大家这个描述
774200	775200	就是我这个
776040	777440	就是这只挠一下就上去了
777440	778120	挠一下就上去了
778120	778920	只能这样描述
779920	782720	这本来想一句什么诗跟这个比较符合
782720	783560	有没有
783560	784920	发现好像也不太行
784920	786160	浅草才能墨马蹄
786160	787160	这好像也没墨主
789240	790240	才疏学浅
790240	791040	然后完了
791040	794160	它主要是里边裹的肉加上豆腐皮
794160	795160	吃法有很多
795160	797400	你可以把它放到热油中像这样
797400	799200	稍微的两样煎一下
799200	800000	炸一下都可以
801000	802600	炸的时候炸到金黄就很好吃
802600	803920	或者其实涮火锅
803920	804480	涮火锅
804480	806480	就能吃出它的那种嫩
806480	807480	蒸行不行
807480	808640	蒸 蒸 蒸 蒸
808640	809640	蒸应该也可以吧
809640	810640	蒸一下也可以
810640	812080	吃的那种清淡一点的
812080	813840	对 就是这个意思
813840	815480	或者加入一些蔬菜
815480	816680	跟它炒制一下
816680	817680	也特别好
817680	818880	也特别好
818880	819880	本身里面是有咸淡的
819880	820880	这是有咸淡的
825240	826240	你先互动 我先吃
826240	827240	互动一下
832000	832720	鸣鸣
832720	833720	把互动结束
834160	834680	打个招呼
834680	835680	这不打招呼也不合适
836920	838240	一般都是炸
838240	839560	对这个朋友可能是当地的
839560	840320	给一个解释
840320	842280	所以咱们这个买回去更多是炸
842280	844080	因为我查到的很多吃法里边
844080	845280	它可以涮火锅
845280	846480	可以做汤锅
846480	848440	也可以做一些烤鱼配菜等等
848440	850440	但是可能比较正宗的传统的
850440	851720	你就像人家
851720	853440	这可能当地厨师帮我们做的
853440	855240	你看就是这种采用炸的方式
855240	855640	确实做的
855640	856640	回去
857240	858520	也弄点苦菊吧
858520	859440	来点苦菊
859440	861240	没有苦菊整点生菜
861240	862720	葡萄盘盛一下
862720	864320	没有生菜整个小花朵
864320	865120	是吧
865120	866240	还是花花草草的
866240	867040	实在不行了
867040	868080	就是绿萝啥的
868080	869080	摘点叶子放上来
869080	870080	总之点缀一下
870080	871040	立马气质就
872040	873440	那是一种对于细节的追
873440	875320	挠一下就上去了
875320	878080	那是一种对生活的不妥协朋友们
878080	879080	仪式感要有
879080	880840	这个我们也要出1000单了
880840	881720	1000单了
881720	883880	我怎么现在放盘子也像放酒似的
884880	885880	底气很多
885880	886880	就感觉
887320	889880	来再给大家来一个底气更足的
889880	890880	来底气更足
890880	891360	来了
891360	891960	苏博尔来了
891960	892560	苏博尔
896960	899160	刚刚拿到这个产品的时候有点懵
899160	901960	我说我们到这样的江南水乡
901960	903560	很多初级的农产品
903560	904560	它跟这个
905160	906960	绿叶田园感觉一搭配
906960	908360	跟田园牧歌很适合
908360	910960	像刚才的这个苦菊叶子搭配的这个香菱卷
910960	911360	对
911360	912960	还有一些鱼什么
912960	915360	在这样一个直播场合卖一个锅干啥
915360	916360	游游园园的
916360	918160	Where is the go from
918160	919760	The go is from
919960	920560	The pot
920560	921360	别择锅了
921360	921960	The pot
921960	922760	像不一样
922760	923560	The pot
923560	924360	Bot pot
924360	925960	The pot is from
925960	927760	From这个杭州
927760	928360	杭州
928360	930560	来自于这家的一团品牌
930560	931760	来自于美丽的杭州
931760	934560	苏博尔这品牌是1994年创立的
934560	936360	总部就刚好是在杭州的
936360	938360	大家知道杭州今天在很多层面上
938360	940960	已经成为了我国确实是比较优秀的
940960	942560	顶一线的这种城市
942560	944760	甚至在一些层面上它都超越了
944760	946360	经济尤其发展的上海
946360	948760	尤其是在平均人均收入上
948760	950760	杭州整个人均的收入
950760	953360	应该在全国的排名是非常顶到前的
953360	954160	是很了不起的
954160	955760	那么杭州当然今天也是
955760	958160	大家知道互联网的整个产业
958160	961160	包括整个直播带货的绝大多数的
961160	962560	都在落户杭州
962560	964960	我曾一度给小孙说过好多次
964960	966760	吃饭闲聊也有这种想法
966760	969160	我说能不能把公司从北京搬到杭州
969160	971760	建议自己的这个方向
971760	973360	怎么这么委婉的刚才听的感觉
973360	974760	你不能说太清楚
974760	976560	就是给他这个意思一下
976560	978560	就说你看人家搞直播
978560	979960	人家都在杭州
979960	981960	我们能不能把那也搬到杭州
981960	982560	能不能吗
982560	983560	江南水乡各种的
983560	984560	也想在这混混
984560	985560	这是来了吗
985560	988160	然后被言辞拒绝了好几次
988160	989360	理由是
989360	992360	理由是余老师不方便
992360	994360	余老师要来公司
994360	995360	要给余老师汇报工作
995360	996960	是平时过节就过来了对吧
996960	998160	对 当然这个是开玩笑的
998160	999160	其实更主要的
999160	1001160	他是提到了北京的其他的一些资源
1001160	1002760	文化各方面的
1002760	1004760	这个锅的不锈钢的材质是
1004760	1006560	430级的不锈钢
1006560	1007160	430了
1007160	1008560	然后中层有铝质的记载
1008560	1009960	它是一个三层的结构
1009960	1011160	大家可以看一下
1011160	1013160	上面这个锅盖打开之后
1015760	1017160	第一层第二层第三层
1017160	1018560	这成半天都没给大家看这个锅
1018560	1021960	它是一共有三层
1021960	1023960	而且作为一个蒸锅而言
1023960	1024760	作为一个蒸锅
1024760	1027960	你叫他必须要有自己的风格特色
1028560	1029360	作为一个风格
1029360	1031960	他应该具有的自觉程度
1031960	1033560	就是要深一点点
1034760	1035960	你这个过年
1035960	1038360	在家里做过饭
1038360	1040760	或者帮助父母去做过一些的时候
1040760	1041360	你发现过年
1041360	1042760	你们买到很多那种
1043360	1045560	一大碗一大碗的肉啊菜啊
1045560	1046760	你想把那个连盘蒸进去
1046760	1048160	它经常放不下去
1048160	1049560	就放在这扣不上
1049560	1050360	这很尴尬了
1050360	1051760	然后最后迫不得已
1051760	1052360	就只能这样了
1052360	1053360	一家人等着吃
1053360	1054360	然后放一个锅
1054360	1055360	一次就没法去蒸起
1055360	1056560	一次只能放一个
1056560	1058960	或者只能放两个
1058960	1060360	只能放两个就不行了
1060360	1061360	但是这种厚一点
1061360	1062960	它三层就确实能放三个
1062960	1063560	深度也够
1063560	1065560	对 就是这个感觉
1065960	1067160	品质很好的一个蒸锅
1067160	1068960	一方面蒸另一个方面就拿这个
1068960	1070960	让北方人吃饭的时候
1070960	1072360	很喜欢热馒头
1072360	1073160	就要放到这上面
1073160	1074160	我们就要吞一下
1074160	1075560	把馒头上去吞一下
1075560	1076160	再溜一下
1076160	1077160	这和东北话一样吗
1077160	1078560	东北话也是这样说的
1078560	1080760	我们就溜一下
1080760	1081360	我们不说溜
1081360	1082560	我们说吞或者说
1082560	1083760	起码摸坨一下
1083760	1086360	摸坨一下
1086360	1087160	坨是东词
1087160	1087960	不是摩坨
1087960	1088960	把摸坨一下
1088960	1090560	就是烫热的意思
1090560	1091960	把摸吃了馒头
1091960	1092760	把摸坨一下
1092760	1093760	对对对
1094760	1096360	所以把摸坨一下的时候
1096360	1098160	它这个深度是够的
1098160	1098760	够够够
1098760	1099360	那肯定够
1099360	1100160	那我们能不能再大
1100160	1101560	这个高度肯定是够了
1101560	1102160	你大摸也可以
1102160	1102360	是不是
1102360	1102760	对
1102760	1103960	128块钱
1103960	1105960	咱们是
1105960	1107560	这规格是26厘米的
1107560	1108160	26厘米
1108160	1109760	129块钱
1109760	1111160	然后它里边还带着蒸布
1111160	1111560	是吧
1111560	1112160	这个蒸布是
1112160	1113960	还有一个蒸布
1113960	1115560	好 就是两块蒸布
1115560	1117560	大家可以在详情页里看一下
1117560	1118760	品质特别好的
1118760	1120960	来自于苏博尔的一个蒸锅
1120960	1121960	性价比挺高的
1121960	1122960	129大品牌
1122960	1125960	而且三层蒸 炖 煮
1125960	1126960	都可以
1126960	1127560	比较实用
1129560	1131160	好 下边再来介绍的
1131160	1132560	这个是小黄鱼
1132560	1133560	这小黄鱼
1133560	1134560	其实今天咱们有几款
1134560	1135360	哦哦哦哦
1135360	1136560	其实今天咱们的
1136560	1137160	超赞
1137160	1138360	咱们今天这几款鱼产品
1138360	1140560	其实都是那种比较小而精致
1140560	1142360	而且肉质都是很细
1142360	1143560	那次是好的感觉
1143560	1144160	啊
1144160	1144960	一定要尝
1144960	1145360	一定要尝
1145360	1147160	其实我不知道你看到这个图
1147160	1148960	有什么
1148960	1149960	葱花是吧
1149960	1150160	不是
1150160	1151760	我为什么脑海里冒出来的
1151760	1152360	第一句话是
1152360	1153960	这镜头能照见吗
1153960	1154160	可以
1154160	1155160	你看到这几个场景
1155160	1155960	第一句冒的是什么
1157960	1159160	我怎么第一反应是
1159160	1160560	一家人就要整整齐齐了
1160560	1162160	哎呀
1162160	1163960	你就不能好好吃
1163960	1164560	你这么一说
1164560	1165960	我有点不忍吓快了
1165960	1166760	我要
1166760	1167360	对
1168360	1169360	应该不是来自于
1169360	1171560	一个一个一个家族的
1171560	1172360	来给大家看一下
1172360	1174160	舟山海水产品
1174160	1175960	地理标志证明
1175960	1177360	就是它本身的地理标识
1177360	1178160	是在来自于
1178160	1179160	舟山的海水产品
1179160	1180160	对吗
1180160	1180560	对
1181560	1183760	79块9一共有四包
1183760	1185560	一包大约是一斤
1185560	1186560	行
1186560	1187560	大家先介绍一下价格
1187560	1188960	79块9到手的是
1188960	1190160	四包每一包是500克
1190160	1190960	朋友们可以看一下
1190960	1192560	再生的时候是这种
1192560	1194560	真空所掀的包装
1194560	1195360	对
1195360	1197360	然后在烹饪的时候比较方便
1197360	1198560	我们去简单的蒸一蒸
1198560	1199560	这个就是很简单的
1199560	1200360	铺了一些葱花
1200360	1201960	然后加了一些料酒
1201960	1202960	然后盛一下
1202960	1203760	那我们来看一下
1203760	1206360	来自于美丽的舟山
1206360	1207360	这次直播我刚开始
1207360	1208160	还想新鲜一下
1208160	1209360	能不能去一下舟山
1209360	1210160	因为在直播间
1210160	1211560	给大家念过好几次
1211560	1213560	舟山的东极岛
1216560	1217560	就要开始了
1218560	1219160	听过没有
1219160	1219960	之前排的时候
1219960	1221360	没所有这段
1221360	1222560	你这急性就来了
1222560	1223360	你没听过这个吗
1223360	1224160	没有
1236160	1237160	还是不会
1240160	1241160	没有听过吗
1241160	1241760	没有听过
1241760	1242960	没事下去我给你培训一下
1242960	1243560	行可以
1243560	1244160	待会可以
1244160	1245960	现在主要我在英语和音乐这块
1245960	1248160	都是靠施老师给我多培训
1249160	1250360	等会咱也交流交流
1250360	1251360	这得美好了
1252360	1253360	吃上怎么样
1256360	1256760	很嫩
1256760	1259160	第一个感觉的刺比较少
1259160	1260160	它是一根主刺
1260160	1261960	然后没有那种小细刺
1261960	1262360	对
1262360	1263560	可是肉是很细的
1263560	1264360	对
1264360	1265560	大家知道这个舟山鱼场
1265560	1267960	其实是我国最大的一个鱼场了
1269360	1270560	小黄鱼
1271160	1272560	有时候来自于舟山的小黄鱼
1272560	1274160	在全国的产量都是比较高的
1274160	1275760	占到百分之六十亿
1275760	1276560	怎么样
1276560	1277560	一根主刺是不是
1277560	1278560	肉是肥美不
1280560	1281960	太鲜美了
1281960	1283560	当季捕捞的
1283560	1285360	而且这是清蒸
1285360	1288960	足以见得它本身肉的材质的质量过硬
1288960	1290760	否则的话你清蒸的时候
1290760	1292760	如果鱼不够鲜
1292760	1295360	你吃的时候就会有点杂味
1295360	1296560	外味它是不会的
1296560	1298960	它吃起来就是比较鲜的那种鱼香
1298960	1300560	但万事万物都有两面性
1300560	1302360	我觉得它真的特别的鲜
1302360	1303160	非常的好吃
1303160	1304960	缺点可能就是有刺
1304960	1306760	而且这个刺比较细腻
1307760	1308760	你吃到小刺了吗
1308760	1310760	吃到了有刺
1310760	1311960	但是真的很嫩
1311960	1313160	就是这样一清蒸
1313160	1315160	咱们这上面放的就是这种小葱花
1315160	1316560	小葱也特别香
1316560	1317760	就切点小葱末
1318960	1319960	往上一撒一蒸
1319960	1320560	这是倒了一点
1320560	1322160	简单就淋点蒸鱼豉油
1323560	1323960	对
1323960	1325960	以后的英语就靠明哥了
1326960	1328560	等会咱俩切磋切磋
1330560	1331360	PK一下好不好
1331360	1331760	不干不干
1331760	1332760	等会咱PK一下
1332760	1333960	不干不干
1333960	1334560	这鱼很嫩
1334560	1335560	对 嫩是它的第一特点
1335560	1337560	然后鲜也是它的特点
1337560	1338760	肉质它不干
1338760	1339360	而且
1339360	1339560	对
1339560	1340160	不干吧
1340160	1342360	比较有一种肥美的肉感
1342360	1343960	再加上它的
1343960	1345560	其实如果是小刺的话
1345560	1347360	如果跟同样的这种小鱼比
1347360	1349160	我觉得它的刺相对算小的
1349160	1350160	少的
1350160	1351160	我刚才吃的这一块你看
1352360	1352960	不是
1352960	1354960	爱一个人就爱他的所有
1354960	1355560	小刺
1355560	1356960	不能只看优点
1356960	1359160	有点小问题就不爱了
1359160	1360560	你又想要我的嫩
1360560	1361360	那可不合适
1361360	1363760	又不能接受我的刺
1363760	1364360	对
1365560	1366560	太贪婪了
1366560	1368760	如果我既嫩
1368760	1369960	我还没有刺
1369960	1371160	那我请问你自己
